op_queue_ops,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0
1,272,249,526,316,275,542,416,444,313,28,197,153,412,500,4,160,829,674,133,68,88,282,201,28,528,459,109,243,392,570,278,12
2,607,696,1111,1311,1311,1751,1243,1358,2,16,858,304,10,215,249,118,642,172,37,115,27,50,383,379,1538,1669,627,2099,1597,920,940,375
3,1275,1797,3025,2918,3391,3820,1290,2272,1215,1260,1783,1647,819,936,1475,1024,2773,1619,891,991,918,1789,1191,1247,4046,4229,3170,5215,4375,3131,3573,3339
4,5995,6433,7381,6850,6907,7393,4125,5415,4440,3809,4686,4801,3630,4564,4538,3702,6047,4044,4702,4364,3600,4665,3664,4417,7038,7424,5949,8331,8586,8110,7984,7401
5,5566,6974,8311,7551,6510,7575,6093,7772,6567,5797,7174,6637,3596,4860,8057,6692,5931,3693,4630,4729,3667,4822,3901,4611,8715,9288,4861,7346,11058,10105,9357,9586
6,5151,6567,8831,8432,7007,8204,5984,8733,5931,5217,9963,9131,7473,9368,10243,8575,10238,7188,5757,6017,3632,4813,6363,7081,9110,10425,4249,6919,13665,12388,11506,11604
7,4920,6698,10343,9827,9264,11089,5477,8152,5322,5357,9563,8900,8877,11028,10468,7647,11680,7886,7223,7678,6962,7957,10264,11002,9483,11363,4122,6880,13255,12402,11950,11906
8,6003,7854,11583,10839,9010,11331,4732,7696,4739,4507,8913,8678,9622,12712,11516,7951,10719,6760,7548,7192,8673,10300,10600,12159,12068,14518,7475,10647,16473,15650,14518,14414
9,9580,12337,15510,14739,9666,12269,5029,8431,5332,5194,11238,10633,11590,14779,13042,9502,12054,7423,9193,9443,10307,11595,12588,13840,14166,17429,7579,11131,19372,18386,17415,17243
10,4833,8302,12305,11273,11129,14078,7258,10600,3358,3374,9860,7800,7625,11243,15037,11252,10647,5366,6328,6123,6882,8247,10427,11800,10599,14086,4918,8420,16192,14980,15315,15616
11,3742,7096,12537,11461,10968,13940,7329,11487,5140,4653,10944,10226,8611,12560,13781,9914,12459,6765,6312,5163,7191,8332,8964,10494,9864,13043,4222,7954,15503,14141,15206,15094
12,4548,8206,13427,10935,10101,13851,6838,11095,5290,5346,10190,10236,10769,15392,12612,8726,13064,6664,8854,8663,9240,10540,10506,11885,9362,13900,3393,7897,16707,15057,15206,15062
13,1199,5661,10621,9155,7586,11146,4490,9044,3132,2931,8644,7634,9475,14588,12103,7681,12372,5008,7374,7728,7275,9020,10475,12297,12484,16541,3287,8000,17742,17020,14295,14118
14,1620,4639,11606,9978,3932,8338,622,5838,10,0,5848,5155,6864,11889,8866,4598,10030,2418,4330,4551,4830,6870,8154,10154,10197,14570,1349,6600,15305,14352,15913,16048
15,2728,6071,11109,9113,6640,11736,571,6669,405,53,6094,5160,6954,12392,11637,7375,10639,2386,4495,4333,4894,6699,8177,10399,9546,14600,937,6457,15573,14498,15640,16000
16,1546,5296,10110,7613,4932,10551,1922,8516,1990,1616,7954,7247,4640,10518,10577,6261,8765,827,2752,2422,3501,4819,6900,8384,8049,13699,715,5143,14156,12712,14362,15136
17,1856,5936,10765,8427,4761,11182,2517,9971,1815,1791,7767,7214,7571,13564,10449,5399,11252,3061,5042,3939,3654,5905,6007,7599,8998,14698,2269,5573,14688,12637,15739,16155
18,26,4047,9169,6398,3354,10199,897,8331,934,1340,7487,5996,7627,14298,10092,4599,10488,1853,4861,3788,6378,8181,9169,11162,6953,13061,0,3728,15292,13185,14102,14449
19,797,1111,8119,3848,836,6875,791,5308,258,599,3853,1541,3278,10785,6829,1326,6696,57,950,1,3248,5374,5655,7952,6563,13240,2089,3350,12778,11963,13158,13474
20,2367,2790,7955,5596,761,5152,807,3853,1,28,1928,0,2202,9499,7517,230,6407,227,171,309,2115,4141,4418,7178,4575,12986,665,2549,12476,11681,13223,13884
21,0,214,5331,2530,1614,5790,1127,3326,4,6,2986,315,1074,8800,7251,718,5968,249,268,204,1420,3775,3815,6181,1700,10733,41,334,11113,9587,11149,12443
22,1698,1900,5183,1920,1949,5960,1960,3122,3321,3676,2238,4076,1945,7012,5459,2176,3888,1770,2207,1434,1871,1919,1591,4017,1863,10224,1772,1892,10822,8665,10589,12001
23,2332,2458,5378,2585,3004,6893,2645,4378,3674,4558,2826,4818,5858,11318,6264,2716,7110,5360,5989,5567,2382,2638,2563,4892,2014,11048,2568,3200,12858,9561,11456,13275
24,1362,1650,4078,1508,1565,6341,1644,3094,3195,3959,1668,4184,5112,11427,5413,1794,6537,3423,4030,4305,4038,3978,4920,7161,1913,10642,1409,1597,13087,11985,10225,12386
25,264,265,2792,2122,44,1355,440,135,54,41,0,30,389,7404,801,0,2937,512,653,1613,1480,1805,2229,4749,474,9749,612,703,8689,7415,9041,10823
