ops,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,28185,23161,21758,28426,28151,23691,28723,24571,28005,23244,28260,26116,27064,25149,25849,26581,22091,23191,21076,22360,25202,21387,21172,22567,23047,20740,23971,21048,25082,23198,20238,19697
1,30968,26441,25166,31069,30819,26218,31565,26995,30395,25646,30558,28461,29635,27414,28289,28933,24462,25576,23585,24755,27599,23735,23775,25003,25583,23198,26679,23493,27337,25560,22780,21997
2,33973,28956,27704,34085,33710,29516,34294,30338,33539,28823,33844,31595,32465,31077,31461,32095,27755,28531,26707,28088,30911,27036,26797,28088,29162,27192,30200,27350,30863,30067,26427,25434
3,39117,34810,33276,39785,38996,35058,39032,35915,38243,33750,38426,36430,37016,35834,36732,36764,32844,33064,31560,33113,35817,32680,32383,33413,34243,32183,34898,32641,36207,33887,31292,30600
4,46072,41324,40368,46310,45545,41434,46357,42884,45807,40847,45581,43810,44058,43105,43724,44025,40099,40057,39734,40139,42739,39216,38518,40343,41563,39616,41908,39495,43119,41730,39116,37867
5,51919,47986,46456,51756,51097,47271,52260,48648,51400,46792,51468,49297,50236,49552,49599,49319,45951,45900,44956,46373,48605,45208,44536,46357,46553,44662,47636,45287,48463,46558,44429,44001
6,57785,53687,52121,58153,57199,54084,58794,55404,57882,53359,58141,55834,56672,56290,56244,55629,52552,52140,51156,52665,54876,51414,51199,52723,52992,51166,53671,51829,54822,52884,50957,50342
7,63929,60023,58915,64589,63696,60397,65131,61778,64197,60269,65012,62162,63190,63063,63223,62090,59234,58257,57915,59492,61320,57964,57714,59342,59055,57674,60039,58604,61207,59110,57630,56842
8,71418,66971,66177,71095,70164,67662,71782,68560,71759,66448,70973,69139,69474,70549,69978,68258,65103,65570,65185,66204,67861,65302,63547,66673,66368,64816,66443,65278,67752,65902,64932,64183
9,77749,74320,72989,78382,77201,74374,79241,76209,78431,74241,78178,75865,76513,77128,76658,75195,73200,71962,71498,73307,75121,72195,71222,73434,72878,72135,73897,72909,75373,73023,71861,71110
10,82691,79109,77806,82991,81932,79449,84391,80919,82633,78894,83148,80517,81127,82277,81477,79541,77773,76282,76175,78160,80161,76834,76120,78241,77841,77056,79099,77752,79877,77586,77103,76117
11,88522,85499,84294,89092,88061,85872,90393,87262,88939,84762,89192,86395,86986,88198,87322,85435,83664,82083,82248,84028,86000,83052,81960,84229,83907,83219,85259,84074,86292,84160,83538,81888
12,95662,92614,92888,96255,94545,93277,97320,93802,95514,92566,95795,94738,93788,95441,94317,92493,90674,88765,89231,90559,93159,90557,88081,90276,91017,91696,91582,91403,93878,91371,90105,88851
13,100829,97845,96731,101364,100196,97971,103009,99580,101194,97230,102129,99244,99785,101633,100374,97719,96179,93857,94681,97011,97451,95148,93787,96273,95976,95853,97241,96839,98393,96299,95737,94660
14,105595,102787,101821,106471,104687,102755,107599,104833,105936,101717,106585,103756,104191,106439,104647,102456,100917,99005,99479,101631,102844,100705,99086,101738,101085,100939,101927,102014,103423,101037,101125,100190
15,111927,109619,108682,113061,111571,109907,114349,111802,112655,108748,113006,110707,111106,113309,111168,108981,107601,105887,106589,108409,109681,107362,105792,108541,107463,107657,109210,108778,110032,108510,107662,106794
16,118436,116013,114954,119351,117699,115975,120278,118326,119490,114723,119775,117395,117329,119585,117611,115142,113916,112111,112270,114779,115790,113025,112082,114446,113988,114056,114941,114620,116294,114180,113687,113322
