avg_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0.000222,0.000154,0.00015,0.000113,0.000154,0.000154,0.000383,9.4e-05,0.000101,9.9e-05,5.6e-05,0.000344,6e-05,8e-05,6.6e-05,5.2e-05,9.4e-05,0.000104,9.9e-05,0.000126,0.000102,0.000164,0.000111,0.00012,0.000119,0.000124,7.7e-05,0.0001,0.000142,0.000218,0.000216,9.9e-05
1,0.000108,0.000296,8.3e-05,9.5e-05,0.0001,9.2e-05,0.000663,0.0001,5e-05,6.4e-05,5.5e-05,5.7e-05,4e-05,6.8e-05,6.9e-05,6e-05,7.2e-05,6.6e-05,6.6e-05,0.000104,5.6e-05,7.5e-05,0.000167,8.7e-05,0.000111,0.000194,9e-05,0.0002,0.000127,0.000106,0.00011,0.000102
2,6.9e-05,8.3e-05,0.000121,8.4e-05,6.1e-05,0.000108,7.9e-05,8.9e-05,7e-05,6.8e-05,6.3e-05,6.5e-05,5.9e-05,5.6e-05,8.2e-05,8.7e-05,7.4e-05,5.9e-05,7.4e-05,6.6e-05,7.5e-05,6.8e-05,6.2e-05,7.1e-05,0.000161,0.000125,9.8e-05,0.000149,0.000366,0.000195,0.000331,0.000207
3,7.1e-05,7.7e-05,9.8e-05,7.4e-05,6.7e-05,0.000114,5.5e-05,5.1e-05,5.7e-05,5.9e-05,8.4e-05,6.5e-05,5.7e-05,7.2e-05,7.1e-05,6.4e-05,7.9e-05,5.2e-05,5.6e-05,6.5e-05,5.8e-05,5.4e-05,4.8e-05,6.3e-05,4.2e-05,5.7e-05,3.8e-05,6.4e-05,0.000106,4.9e-05,4.8e-05,3.8e-05
4,3.9e-05,4.3e-05,6.5e-05,3.3e-05,3.9e-05,4e-05,8.5e-05,6.2e-05,0.000243,5.9e-05,4.5e-05,6.7e-05,3.7e-05,4.2e-05,7.2e-05,8.8e-05,3e-05,3.8e-05,4e-05,5.2e-05,5.5e-05,3.5e-05,3.5e-05,3.8e-05,3.2e-05,3.1e-05,3.8e-05,3.4e-05,9.1e-05,3.1e-05,2.9e-05,3.5e-05
5,3.2e-05,3.5e-05,5.6e-05,3.3e-05,4.9e-05,3.4e-05,6.6e-05,3.7e-05,3e-05,2.8e-05,5.3e-05,9.1e-05,5.7e-05,5.2e-05,5.4e-05,4e-05,0.000109,5.2e-05,4.7e-05,4.4e-05,2.8e-05,3.2e-05,9.9e-05,3e-05,3.8e-05,2.8e-05,3.2e-05,3.1e-05,3.5e-05,3.9e-05,6.8e-05,3.9e-05
6,4e-05,4e-05,3.7e-05,4.1e-05,3.7e-05,4.7e-05,3.1e-05,4.9e-05,3.8e-05,3.8e-05,4.6e-05,3.2e-05,3.9e-05,4.7e-05,4.3e-05,4e-05,4.2e-05,4.4e-05,7.4e-05,6.4e-05,0.000102,0.000139,5.9e-05,9.5e-05,4.6e-05,5.2e-05,3.2e-05,4.5e-05,4.6e-05,3.7e-05,4.2e-05,3.6e-05
7,4.5e-05,4.6e-05,4.5e-05,4.6e-05,4.1e-05,4.8e-05,4e-05,4.7e-05,3.3e-05,3.3e-05,3.6e-05,4.5e-05,4.1e-05,4.3e-05,3.9e-05,4.3e-05,3.8e-05,4.2e-05,3.4e-05,4.1e-05,4.1e-05,3.8e-05,3.4e-05,5.1e-05,6.9e-05,0.000211,0.000122,5.2e-05,0.00011,5.5e-05,6.1e-05,6e-05
8,8.1e-05,0.000113,8.4e-05,0.000108,4.5e-05,6.6e-05,4.4e-05,5.1e-05,3.9e-05,5.1e-05,6e-05,4.3e-05,4.1e-05,4.3e-05,4.4e-05,4e-05,6.8e-05,4.5e-05,4.1e-05,7.1e-05,3.7e-05,6.5e-05,3.7e-05,5.3e-05,3.4e-05,5e-05,4.1e-05,3.5e-05,3.1e-05,4.1e-05,7.9e-05,0.000106
9,4.2e-05,4e-05,4.1e-05,3.5e-05,6.9e-05,0.000189,6.2e-05,5e-05,7.2e-05,7.7e-05,4.1e-05,5.4e-05,3.2e-05,4.2e-05,9.9e-05,6.5e-05,4.7e-05,4.7e-05,3.8e-05,3.9e-05,4.1e-05,4.3e-05,4.1e-05,3.8e-05,3.8e-05,3.7e-05,4.1e-05,3.7e-05,5e-05,4.3e-05,7.8e-05,4e-05
