numpg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
1,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
2,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
3,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
4,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
5,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
6,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
7,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
8,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
9,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
10,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
