numpg_primary,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
1,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
2,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
3,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
4,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
5,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
6,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
7,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
8,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
9,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
