object_ctx_cache_hit,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,4,2,0,0,0,0,0,0,5,8,0,0,0,0,1,1,14,4,14,7,8,1,12,8,7,5,2,3,2,4,18,14
1,75,59,83,90,22,36,78,61,104,118,48,22,46,64,23,74,67,58,65,68,80,19,78,81,59,54,64,42,74,46,147,71
2,119,91,127,132,54,77,120,116,137,164,102,55,81,113,55,129,111,103,110,117,133,65,129,131,102,116,111,100,130,119,207,119
3,256,244,274,258,174,218,215,248,243,270,177,152,173,212,176,234,223,200,213,228,229,201,261,259,230,226,236,235,255,199,337,230
4,573,567,617,574,483,530,544,546,556,580,503,466,453,567,478,568,534,476,580,532,507,498,514,572,607,600,585,553,546,594,749,564
5,938,982,1010,876,788,910,874,885,874,933,893,808,821,947,818,882,869,830,896,912,793,832,878,941,920,879,961,918,871,879,1106,930
6,1336,1405,1384,1289,1213,1362,1329,1285,1318,1375,1359,1276,1235,1412,1261,1325,1314,1282,1361,1390,1191,1231,1310,1372,1427,1292,1390,1390,1269,1289,1569,1356
7,1852,1987,1947,1857,1761,1901,1879,1798,1847,1946,1943,1816,1779,1973,1873,1938,1845,1828,1930,1923,1706,1817,1851,1922,1999,1849,1949,1996,1808,1807,2192,1896
8,2578,2694,2656,2475,2364,2606,2533,2409,2568,2618,2517,2478,2373,2758,2522,2546,2400,2534,2667,2578,2294,2545,2391,2611,2734,2508,2610,2654,2413,2449,2991,2624
9,3240,3551,3387,3256,3138,3376,3368,3259,3309,3537,3303,3248,3137,3457,3329,3350,3283,3235,3410,3363,3052,3342,3240,3399,3515,3292,3508,3569,3241,3244,3856,3368
10,3810,4147,3949,3774,3705,3992,3990,3778,3836,4119,3880,3773,3646,4052,3911,3908,3801,3766,3963,3933,3634,3883,3821,3988,4148,3879,4147,4150,3795,3764,4563,3926
11,4512,5015,4761,4493,4428,4828,4770,4577,4625,4848,4609,4559,4311,4792,4635,4693,4529,4511,4669,4707,4385,4621,4509,4712,4967,4702,4933,4995,4598,4601,5439,4636
12,5518,6020,5980,5490,5356,5916,5719,5482,5557,5975,5569,5778,5223,5727,5550,5761,5534,5492,5691,5665,5373,5634,5393,5508,6075,5897,5840,6058,5663,5591,6456,5544
13,6268,6807,6550,6188,6133,6641,6564,6295,6402,6679,6474,6424,6111,6614,6414,6538,6368,6269,6497,6616,5920,6283,6279,6329,6870,6475,6684,6877,6306,6259,7341,6381
14,7045,7617,7344,6926,6868,7425,7269,7061,7157,7412,7148,7187,6799,7350,7049,7335,7062,7090,7221,7313,6728,7107,7083,7092,7715,7271,7457,7738,7047,6984,8224,7282
15,8103,8755,8418,7967,7976,8695,8402,8157,8260,8618,8224,8337,7897,8521,8049,8515,8153,8279,8392,8394,7797,8180,8207,8217,8834,8377,8688,8936,8077,8198,9417,8312
16,9264,9856,9507,9045,9047,9813,9439,9194,9455,9747,9425,9518,8882,9550,9139,9543,9250,9365,9385,9520,8832,9081,9260,9193,10067,9492,9748,9991,9085,9192,10555,9453
17,10550,11392,11168,10496,10500,11313,10939,10491,10524,11174,10531,10868,10071,10840,10385,10916,10527,10541,10640,10717,10262,10932,10539,10388,11537,10941,11262,11515,10493,10570,12325,10904
18,11626,12434,12121,11401,11393,12488,12039,11418,11734,12456,11816,11974,11262,12190,11565,12178,11695,11768,11812,11982,11123,11778,11831,11689,12530,11939,12383,12695,11582,11731,13426,12048
19,12721,13679,13322,12581,12485,13647,13062,12493,12709,13670,13056,13015,12154,13384,12751,13341,12634,12554,12734,12793,12066,12640,12665,12605,13668,13108,13664,13911,12693,12812,14929,13227
20,13985,14953,14771,13741,13760,15153,14362,13866,13917,14883,14055,14245,13366,14620,13772,14573,13956,13951,14101,14106,13341,13971,13995,13913,15023,14402,14944,15310,14062,14191,16299,14422
21,15036,16158,15771,14734,14831,16303,15488,14829,15244,16350,15395,15684,14716,16043,15066,15961,15376,15265,15437,15506,14699,15318,15326,15317,16300,15473,16041,16529,15027,15240,17529,15650
22,16536,17827,17442,16098,16365,18021,16961,16308,16719,17933,16915,17239,16121,17572,16630,17539,16873,16726,17030,16761,16164,16827,16647,16714,17967,17077,17578,18174,16446,16788,19256,17149
23,18289,19605,19192,17850,18045,19797,18731,18018,18435,19858,18718,19074,17997,19396,18415,19285,18571,18535,18884,18593,17974,18809,18707,18554,19774,18742,19399,19945,18192,18499,21285,18949
24,19797,21280,20840,19272,19698,21494,20244,19686,19889,21519,20251,20652,19407,20935,19969,20873,20664,19984,20210,20210,19206,19950,20242,20000,21396,20333,21112,21537,19673,19960,23110,20510
25,20790,22574,21838,20275,20515,22677,21323,20506,20873,22543,21020,21739,20346,22061,20849,21716,21414,21043,21360,21266,20286,21170,21276,21137,22639,21673,22313,22822,20900,21102,24459,21681
26,22359,24120,23715,21989,22239,24377,22960,22118,22504,24212,22700,23297,21945,23683,22525,23382,23157,22654,22938,22935,21887,22860,22823,22748,24287,23214,24025,24382,22554,22771,26359,23391
27,23732,25465,24982,23082,23405,25820,24180,23384,23885,25672,24046,24725,23309,25192,23985,24820,24399,23990,24375,24296,23158,24159,24295,24051,25608,24569,25253,25769,23620,24130,27680,24633
28,25425,27410,26921,24911,25270,27853,26121,25157,25747,27579,25956,26752,25151,27097,25865,26800,26487,26139,26401,26315,25172,26137,26323,25911,27469,26311,27135,27734,25450,25823,29630,26448
29,27014,29269,28640,26550,26962,29820,28126,26873,27478,29278,27377,28314,26568,28784,27337,28350,28038,27695,28018,27968,26701,27693,27960,27390,29193,28208,28879,29600,27382,27651,31590,28349
30,28840,31147,30470,28241,28692,31472,29595,28509,29079,31244,29303,30348,28345,30751,29213,30255,29977,29645,29988,29849,28495,29590,29842,29318,31044,29784,30515,31289,28945,29180,33543,30030
31,30532,32818,32451,29930,30193,33230,31130,29872,30390,32868,30601,31676,30059,32426,30532,31935,31490,31028,31324,31465,29757,31121,31279,30811,32691,31410,32333,33222,30970,31038,35276,31930
32,31938,34577,33738,31314,31779,34962,32607,31617,31996,34575,32477,33622,31353,33878,32193,33530,33083,32693,32976,32964,31426,32689,32953,32376,34423,33051,34012,34825,32161,32450,37253,33331
