object_ctx_cache_total,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,9,4,1,1,1,0,1,1,9,11,0,0,0,3,2,2,16,8,16,11,10,2,16,12,11,7,5,4,6,6,25,17
1,1007,1110,1208,887,888,886,986,801,841,922,811,809,856,832,779,876,841,863,907,871,854,715,943,875,936,865,973,875,797,777,1139,804
2,1944,1977,2075,1867,1841,2031,1858,1858,1841,2033,1903,1819,1779,2065,1784,2021,1908,1899,1939,1984,1933,1834,1979,1907,2143,2169,2166,2199,1930,2257,2494,1915
3,3656,4009,3876,3649,3595,3976,3430,3570,3425,3773,3390,3493,3280,3648,3523,3656,3554,3428,3546,3635,3454,3676,3797,3623,4003,3746,3838,4003,3710,3497,4329,3643
4,5966,6277,6223,5742,5790,6199,5814,5784,5922,6242,5763,5970,5550,6033,5775,6230,5902,5770,6323,5969,5618,5765,5833,5943,6556,6102,6303,6307,5970,6085,7178,6015
5,7925,8623,8306,7520,7590,8187,7745,7556,7728,8394,7807,7877,7547,8189,7709,8097,7803,7795,8092,7993,7505,7658,7837,7863,8308,7705,8293,8246,7694,7695,9050,8002
6,9829,10584,10188,9594,9647,10498,9885,9602,9882,10662,9952,10020,9663,10361,9932,10272,9991,9908,10156,10195,9533,9674,10046,9939,10594,9777,10427,10530,9707,9738,11420,10106
7,11836,12744,12483,11688,11830,12653,11995,11633,11925,13030,12205,12157,11725,12565,12267,12533,12232,12025,12381,12338,11614,11882,12262,12021,12822,11953,12608,12807,11753,11794,13847,12219
8,14333,15205,14905,13764,13905,15167,14215,13787,14445,15223,14196,14534,13808,15078,14457,14618,14206,14530,14805,14451,13745,14304,14194,14390,15333,14219,14770,15089,13894,14030,16546,14589
9,16393,17735,17204,16046,16258,17557,16694,16202,16631,17915,16605,16780,16070,17271,16665,17030,16860,16723,16860,16789,16037,16592,16682,16564,17634,16594,17325,17743,16407,16359,19042,16805
10,18003,19323,18825,17494,17783,19264,18401,17661,18048,19518,18223,18296,17541,18964,18241,18520,18386,18165,18441,18417,17675,18177,18346,18130,19401,18210,19184,19421,17887,17859,20977,18420
11,19872,21560,20943,19403,19784,21532,20366,19736,20071,21554,20182,20385,19453,20965,20179,20592,20345,20145,20382,20348,19608,20140,20301,20053,21552,20284,21281,21596,20020,19967,23271,20324
12,22284,23952,23871,21711,21955,24164,22614,21739,22208,24212,22365,23282,21665,23240,22418,23037,22681,22474,22748,22543,21872,22562,22412,21955,24037,23086,23414,24163,22500,22293,25618,22551
13,23988,25748,25161,23307,23763,25824,24544,23586,24095,25834,24400,24788,23601,25249,24383,24777,24523,24239,24608,24691,23220,24104,24390,23920,25793,24436,25341,26030,23981,23891,27643,24480
14,25564,27520,26877,24935,25267,27496,26097,25210,25620,27416,25885,26389,25024,26786,25757,26462,26080,26033,26181,26194,24913,25882,26159,25617,27577,26128,26944,27826,25553,25431,29540,26285
15,27615,29859,29132,27019,27540,30075,28376,27431,27864,29849,28018,28778,27289,29069,27870,28713,28307,28421,28592,28375,27068,28035,28409,27862,29786,28364,29477,30132,27653,27889,31911,28442
16,29768,32039,31216,29017,29508,32177,30322,29407,30165,31984,30252,31028,29267,31092,29904,30822,30429,30543,30527,30490,29066,29845,30506,29758,32122,30482,31489,32155,29674,29756,34141,30594
17,32097,34778,34149,31564,32130,34827,32947,31773,32101,34482,32262,33356,31410,33459,32148,33235,32766,32643,32828,32661,31657,33042,32875,31877,34750,33115,34209,34836,32176,32153,37265,33128
