op_r,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,8,2,1,0,0,0,0,0,8,6,0,0,0,0,2,2,8,8,8,8,4,2,10,8,8,4,4,2,4,4,14,10
1,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
2,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
3,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
4,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
5,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
6,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
7,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
8,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
9,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
10,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
11,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
12,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
13,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
14,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
15,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
16,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
17,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
18,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
19,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
20,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
21,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
22,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
23,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
24,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
25,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
26,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
27,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
28,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
29,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
30,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
31,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
32,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
33,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
34,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
35,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
36,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
37,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
38,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
39,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
40,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
41,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
