op_r_out_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,128,32,16,0,0,0,0,0,134,114,0,0,0,0,32,32,268,3124,268,134,76,32,316,140,134,70,64,38,64,70,248,300
1,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
2,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
3,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
4,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
5,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
6,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
7,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
8,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
9,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
10,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
11,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
12,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
13,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
14,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
15,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
16,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
17,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
18,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
19,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
20,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
21,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
22,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
23,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
24,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
25,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
26,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
27,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
28,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
29,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
30,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
31,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
32,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
33,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
34,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
35,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
36,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
37,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
38,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
39,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
