op_rw_process_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0.001111,0.001725,0.001814,0.001494,0,0.000949,0.001393,0.002469,0.002485,0.002884,0.003975,0,0.003402,0.001393,0,0.003306,0.001362,0.001344,0.001144,0.001872,0.001951,0,0.00108,0.004578,0.000969,0.001269,0.003133,0.002283,0.002563,0.002577,0.00748,0.002443
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.4e-05,3.2e-05,3.5e-05,4.1e-05,0,3.7e-05,5.2e-05,0,3.3e-05,2.9e-05,0,0,7.3e-05,0,0,3.2e-05,4e-05,3.2e-05,3.7e-05,0,0.000114,0,0,3.7e-05,6.2e-05,3.5e-05,3.7e-05,2.4e-05,4.8e-05,4.5e-05,4e-05,4.3e-05
5,0,0,0,0,0,0,8.5e-05,3.6e-05,2.7e-05,4.2e-05,4.4e-05,0,0,4.9e-05,0,3.7e-05,4.3e-05,0,3.8e-05,4.7e-05,3.9e-05,0,4.6e-05,3e-05,0,0,0,0,0,0,4.7e-05,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3.2e-05,2.8e-05,4.3e-05,3.7e-05,0,3.3e-05,3.9e-05,2.9e-05,3.4e-05,3.4e-05,3.4e-05,0,3.2e-05,4.9e-05,0,4.3e-05,3.7e-05,4.5e-05,3.2e-05,2.7e-05,3.4e-05,0,3.7e-05,3.6e-05,3.8e-05,4.7e-05,3e-05,3.8e-05,3.1e-05,3.4e-05,3.9e-05,3.4e-05
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3.8e-05,2.6e-05,5.3e-05,3.5e-05,0,3.7e-05,4.4e-05,4.3e-05,4e-05,3.9e-05,4e-05,0,3.4e-05,5.6e-05,0,3.7e-05,4.3e-05,3.8e-05,4.5e-05,3.7e-05,4.1e-05,0,4.2e-05,4.5e-05,2.7e-05,4.7e-05,3.4e-05,4.7e-05,5.2e-05,0.000319,4.3e-05,3.7e-05
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-05,0,0,0,4.1e-05,0
19,3.3e-05,5.1e-05,4.1e-05,5.3e-05,0,5.8e-05,4.2e-05,3.8e-05,5.5e-05,4.2e-05,4.8e-05,0,4.5e-05,4.8e-05,0,5.6e-05,3.8e-05,3.4e-05,3.9e-05,4.9e-05,4.3e-05,0,4.4e-05,5.1e-05,3.6e-05,4e-05,0,3.3e-05,3.1e-05,3.7e-05,4.3e-05,4.5e-05
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,7.1e-05,4.5e-05,3.7e-05,5.1e-05,0,5e-05,3.7e-05,5.4e-05,3.9e-05,5.4e-05,4.6e-05,0,3.8e-05,5.2e-05,0,4.5e-05,3.9e-05,4.5e-05,3.5e-05,3.4e-05,4.3e-05,0,3.8e-05,6.3e-05,3.4e-05,3.9e-05,4.6e-05,4.3e-05,3.5e-05,4.5e-05,4.1e-05,4.4e-05
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6e-05,0,4.3e-05,0,0,3.1e-05,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3.2e-05,5e-05,4.7e-05,3.3e-05,0,4.3e-05,3.9e-05,4.7e-05,5.8e-05,6.2e-05,6.9e-05,0,3.5e-05,4.3e-05,0,4e-05,5e-05,4.4e-05,5.4e-05,4.3e-05,4.9e-05,0,4.1e-05,6.2e-05,3.6e-05,3.6e-05,3.6e-05,3.1e-05,3.1e-05,3.8e-05,5.3e-05,3.8e-05
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
