op_w,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,941,1052,1137,812,871,851,917,739,729,807,766,795,813,766,754,807,767,801,839,813,778,696,858,796,869,811,922,838,712,732,987,735
2,1873,1922,2006,1784,1825,1992,1786,1793,1727,1911,1859,1800,1741,2002,1756,1951,1836,1839,1866,1924,1859,1812,1897,1826,2078,2127,2120,2155,1858,2200,2345,1847
3,3556,3948,3810,3568,3582,3947,3351,3505,3304,3646,3343,3469,3234,3590,3501,3579,3487,3355,3471,3566,3379,3649,3712,3536,3937,3698,3783,3961,3625,3445,4184,3566
4,5887,6222,6148,5666,5755,6144,5745,5719,5797,6116,5715,5955,5499,5972,5755,6156,5829,5707,6249,5903,5536,5748,5739,5856,6491,6059,6245,6265,5888,6035,7027,5939
5,7857,8565,8204,7433,7571,8152,7672,7492,7619,8280,7709,7805,7509,8135,7690,8032,7734,7731,8022,7925,7427,7634,7750,7775,8227,7662,8240,8209,7612,7650,8894,7918
6,9759,10519,10106,9509,9621,10447,9807,9531,9758,10538,9904,10007,9615,10295,9905,10194,9928,9853,10066,10066,9462,9666,9964,9859,10529,9728,10371,10485,9626,9692,11259,10026
7,11766,12689,12402,11602,11807,12605,11921,11565,11805,12896,12158,12137,11666,12498,12244,12459,12152,11954,12302,12274,11528,11863,12175,11931,12706,11864,12557,12768,11679,11737,13696,12149
8,14257,15144,14825,13675,13890,15120,14133,13713,14327,15093,14140,14514,13759,15010,14435,14540,14131,14458,14732,14386,13659,14282,14105,14303,15269,14171,14707,15047,13810,13978,16361,14500
9,16328,17680,17136,15967,16200,17480,16620,16140,16507,17788,16562,16758,16023,17206,16631,16940,16790,16660,16786,16722,15958,16572,16594,16474,17565,16543,17264,17698,16323,16310,18884,16731
10,17931,19264,18750,17406,17766,19224,18321,17587,17894,19387,18167,18276,17495,18902,18224,18438,18307,18094,18367,18342,17586,18151,18244,18041,19338,18162,19117,19377,17800,17812,20807,18341
11,19799,21507,20860,19306,19764,21491,20290,19665,19950,21427,20138,20376,19369,20857,20161,20516,20264,20078,20303,20278,19527,20119,20209,19964,21487,20234,21219,21553,19937,19913,23103,20237
12,22212,23891,23781,21611,21944,24122,22531,21668,22083,24072,22318,23261,21613,23171,22389,22957,22600,22406,22664,22468,21788,22537,22313,21862,23968,23033,23356,24110,22410,22244,25453,22467
13,23912,25687,25081,23212,23747,25784,24465,23515,23966,25700,24354,24765,23549,25180,24355,24701,24443,24163,24525,24617,23140,24086,24291,23823,25735,24379,25290,25986,23882,23834,27433,24381
14,25496,27460,26800,24848,25257,27464,26024,25131,25494,27281,25823,26374,24972,26718,25729,26377,26005,25960,26108,26125,24825,25864,26061,25518,27513,26083,26883,27783,25463,25388,29375,26198
15,27544,29802,29045,26933,27527,30040,28271,27312,27733,29706,27970,28768,27239,29008,27810,28615,28226,28347,28509,28305,26979,28021,28313,27764,29720,28314,29419,30085,27558,27830,31741,28349
16,29693,31950,31139,28923,29486,32137,30219,29329,30030,31832,30200,31013,29218,31023,29868,30739,30345,30468,30434,30419,28976,29824,30410,29661,32049,30428,31424,32100,29580,29703,33964,30507
17,32013,34721,34063,31465,32118,34774,32860,31697,31963,34340,32204,33331,31349,33377,32121,33147,32679,32567,32745,32575,31570,33028,32772,31779,34681,33056,34137,34785,32078,32102,37089,33032
18,33827,36495,35669,33052,33600,36808,34710,33273,34037,36621,34388,35276,33444,35751,34199,35309,34733,34693,34918,34784,33076,34464,35026,34068,36443,34739,36043,36813,33857,34045,38970,34983
19,35575,38516,37572,34882,35333,38689,36336,35057,35598,38556,36376,36916,34861,37603,36093,37142,36261,36032,36401,36098,34633,35924,36399,35507,38240,36620,38050,38692,35637,35762,41345,36832
20,37617,40500,39779,36715,37381,41109,38413,37306,37492,40406,37940,38864,36773,39512,37774,39091,38309,38185,38519,38160,36626,38017,38488,37536,40367,38692,40047,40923,37757,37926,43547,38704
21,39263,42387,41325,38261,39043,42895,40178,38836,39586,42719,40053,41077,38857,41662,39739,41254,40533,40269,40631,40380,38725,40107,40608,39769,42300,40347,41740,42706,39271,39570,45401,40623
22,41500,44922,43758,40341,41313,45522,42399,41070,41779,45051,42361,43427,40999,43921,42083,43647,42760,42523,43033,42287,40893,42338,42634,41839,44803,42772,44097,45171,41473,41871,47955,42870
